label,n_queries,precision_at_k,recall_at_k,is_macro_row
statistical,18,0.6000000000000001,0.8333333333333334,False
covid19,12,0.5666666666666667,0.75,False
gene expression,11,0.49090909090909096,0.8181818181818182,False
culture,7,0.5142857142857143,0.7142857142857143,False
medical imaging,7,0.6571428571428571,0.8571428571428571,False
infectious diseases,6,0.7666666666666666,0.8333333333333334,False
inflammation,5,0.52,0.8,False
machine learning,5,0.64,0.8,False
cardiovascular disease,4,0.25,0.5,False
clinical,4,0.4,1.0,False
vaccination,4,0.25,0.25,False
neuroscience,4,0.4,0.5,False
antimicrobial resistance,4,0.65,1.0,False
dna damage,3,0.7999999999999999,1.0,False
analytical,3,0.6,1.0,False
neurological disorders,3,0.26666666666666666,0.6666666666666666,False
pharmacotherapy,3,0.39999999999999997,0.6666666666666666,False
plant genomics,3,1.0,1.0,False
virology,3,0.7333333333333334,1.0,False
deep learning,3,0.13333333333333333,0.3333333333333333,False
health economics,3,0.0,0.0,False
sars-cov-2,3,1.0,1.0,False
micrornas,3,0.6,1.0,False
statistical modeling,3,0.06666666666666667,0.3333333333333333,False
genome assembly,3,0.39999999999999997,0.6666666666666666,False
t,3,0.6,0.6666666666666666,False
dna methylation,3,0.7333333333333334,1.0,False
lipid metabolism,3,0.6,1.0,False
mental health,3,0.20000000000000004,0.6666666666666666,False
models,3,0.6,0.6666666666666666,False
nanomaterials,3,0.26666666666666666,0.6666666666666666,False
network,3,0.4666666666666666,0.6666666666666666,False
caregiving,2,0.4,0.5,False
genome sequencing,2,0.5,1.0,False
conflict of,2,0.5,0.5,False
dietary intake,2,0.1,0.5,False
epidemiology,2,0.3,0.5,False
hiv infection,2,0.4,1.0,False
behavior,2,0.2,0.5,False
child health,2,0.2,1.0,False
electrochemical sensors,2,0.0,0.0,False
healthcare workforce,2,0.2,0.5,False
immune regulation,2,0.3,0.5,False
gut microbiota,2,0.7,1.0,False
health communication,2,0.3,0.5,False
surgical techniques,2,0.4,0.5,False
alzheimer disease,2,0.30000000000000004,1.0,False
clinical management,2,0.2,0.5,False
drug delivery,2,0.4,1.0,False
antibodies,2,0.4,1.0,False
cancer therapeutics,2,0.7,1.0,False
demographics,2,0.2,0.5,False
signaling,2,0.6000000000000001,1.0,False
molecular cloning,2,0.2,0.5,False
lncrna,2,0.6,1.0,False
nanoparticle drug,2,0.7,1.0,False
computational genomics,2,0.4,1.0,False
materials characterization,2,0.4,1.0,False
comparative genomics,2,0.8,1.0,False
obesity,2,0.7,1.0,False
organic synthesis,2,0.7,1.0,False
orthopedic surgery,2,0.7,1.0,False
immune,2,0.6,1.0,False
apoptosis,2,0.7,1.0,False
physical activity,2,0.1,0.5,False
informed consent,2,0.8,1.0,False
plant polyphenols,2,1.0,1.0,False
population genetics,2,0.30000000000000004,1.0,False
research ethics,2,0.9,1.0,False
research methodology,2,0.8,1.0,False
risk prediction,2,0.5,1.0,False
roc,2,0.4,1.0,False
covid-19,2,0.9,1.0,False
tissue engineering,2,0.6,1.0,False
tumor immunology,2,0.4,1.0,False
