 cluster_id                cluster_label
          0                     tracking
          1           bacterial cultures
          2              bone metabolism
          3         health interventions
          4                    structure
          5                      missing
          6                   microscopy
          7                            t
          8                      covid19
          9          psoriatic arthritis
         10                  statistical
         11                     behavior
         12            nanoparticle drug
         13                   biomarkers
         14       environmental exposure
         15       cancer transcriptomics
         16                     clinical
         17                dna detection
         18           pathway enrichment
         19              pharmacotherapy
         20            materials testing
         21                  experiments
         22               graphpad prism
         23                     genetics
         24              dna methylation
         25              skeletal muscle
         26                     membrane
         27                     clinical
         28                      covid19
         29             tumor immunology
         30                computational
         31                   annotation
         32                   metabolism
         33                psychotherapy
         34                      covid19
         35                   dna damage
         36           bacterial genomics
         37                 metabolomics
         38               ligand binding
         39      psychometric assessment
         40        quantitative genetics
         41                      covid19
         42       affective neuroscience
         43                 purification
         44            autonomic nervous
         45                      cohorts
         46                 availability
         47       tumor microenvironment
         48                nanomaterials
         49                 child health
         50            physical activity
         51          population genetics
         52                       immune
         53       computational genomics
         54             machine learning
         55                  rna biology
         56          clinical management
         57                  conflict of
         58                  statistical
         59            single sequencing
         60       vascular interventions
         61              gene expression
         62            alzheimer disease
         63               carbon cycling
         64                      culture
         65                     virology
         66             vascular disease
         67              medical imaging
         68            plant polyphenols
         69                     virology
         70               dna extraction
         71             blood biomarkers
         72    administrative statements
         73                   laboratory
         74         questionnaire design
         75             myeloid leukemia
         76                     clinical
         77                ophthalmology
         78                      methods
         79                     covid-19
         80          diabetes management
         81            vaccine hesitancy
         82              vascular grafts
         83                       models
         84                    brain mri
         85              gene expression
         86            signal processing
         87              pharmacotherapy
         88        healthcare governance
         89                   antibodies
         90             cancer detection
         91             cancer therapies
         92             visual attention
         93           cervical neoplasia
         94                  blood brain
         95                      network
         96           immunofluorescence
         97                  statistical
         98           fluorescent probes
         99              research ethics
        100                          pcr
        101      artificial intelligence
        102                     exosomes
        103                     survival
        104       cardiovascular disease
        105                    micrornas
        106                 neuroanatomy
        107          cancer epidemiology
