PMCID,PMID,doi,year,title,journal,topic,file,license
PMC10454326,37628828,10.3390/ijms241612645,2023.0,Acid Sphingomyelinase Deficiency Type B Patient-Derived Liver Organoids Reveals Altered Lysosomal Gene Expression and Lipid Homeostasis.,International journal of molecular sciences,CardioMetabolic,oa_package/6b/46/PMC10454326.tar.gz,CC BY
PMC6797523,31624158,10.1128/MRA.00479-19,2019.0,"High-Quality Draft Genome Sequence and Annotation of the Basidiomycete Yeast Sporisorium graminicola CBS10092, a Producer of Mannosylerythritol Lipids.",Microbiology resource announcements,CardioMetabolic,oa_package/e1/73/PMC6797523.tar.gz,CC BY
PMC12110740,40699752,10.3390/cimb47050353,2025.0,Differential Profiles of Gut Microbiota-Derived Metabolites of Bile Acids and Propionate as Potential Predictors of Depressive Disorder in Women with Morbid Obesity at High Risk of Metabolic Dysfunction-Associated Steatotic Liver Disease-A Pilot Study.,Current issues in molecular biology,CardioMetabolic,oa_package/48/fa/PMC12110740.tar.gz,CC BY
PMC7200004,32369500,10.1371/journal.pone.0232353,2020.0,Complete RPE and outer retinal atrophy in patients receiving anti-VEGF treatment for neovascular age-related macular degeneration.,PloS one,CardioMetabolic,oa_package/75/68/PMC7200004.tar.gz,CC BY
PMC10384075,37513689,10.3390/nu15143270,2023.0,Cholesterol Paradox in Older People with Type 2 Diabetes Mellitus Regardless of Lipid-Lowering Drug Use: A Cross-Sectional Cohort Study.,Nutrients,CardioMetabolic,oa_package/2e/52/PMC10384075.tar.gz,CC BY
PMC11048934,38666935,10.3390/cimb46040205,2024.0,"The Vitamin K-Dependent Anticoagulant Factor, Protein S, Regulates Vascular Permeability.",Current issues in molecular biology,CardioMetabolic,oa_package/68/02/PMC11048934.tar.gz,CC BY
PMC6753237,30828007,10.5551/jat.46615,2019.0,Interaction between an ATP-Binding Cassette A1 (ABCA1) Variant and Egg Consumption for the Risk of Ischemic Stroke and Carotid Atherosclerosis: a Family-Based Study in the Chinese Population.,Journal of atherosclerosis and thrombosis,CardioMetabolic,oa_package/60/f3/PMC6753237.tar.gz,CC BY-NC-SA
PMC10816137,38256676,10.3390/jcm13020542,2024.0,"Association between Resistant Arterial Hypertension, Type 2 Diabetes, and Selected microRNAs.",Journal of clinical medicine,CardioMetabolic,oa_package/60/e5/PMC10816137.tar.gz,CC BY
PMC6327566,30680020,10.3892/etm.2018.7088,2018.0,Contrast of diagnostic value between IL-17 combined with IL-18 and CT angiography in carotid atherosclerosis.,Experimental and therapeutic medicine,CardioMetabolic,oa_package/b6/5a/PMC6327566.tar.gz,CC BY-NC-ND
PMC11086843,38728332,10.1371/journal.pone.0302015,2024.0,"Tamarix aphylla derived metabolites ameliorate indomethacin-induced gastric ulcers in rats by modulating the MAPK signaling pathway, alleviating oxidative stress and inflammation: In vivo study supported by pharmacological network analysis.",PloS one,CardioMetabolic,oa_package/3b/97/PMC11086843.tar.gz,CC BY
PMC11229830,38978922,10.7759/cureus.61965,2024.0,The Role of Alternative Medicine in Managing Type 2 Diabetes: A Comprehensive Review.,Cureus,CardioMetabolic,oa_package/86/cc/PMC11229830.tar.gz,CC BY
PMC7832184,33532359,10.4103/japtr.JAPTR_104_20,2021.0,Role of dyslipidemia in the development of early-onset preeclampsia.,Journal of advanced pharmaceutical technology & research,CardioMetabolic,oa_package/a1/ea/PMC7832184.tar.gz,CC BY-NC-SA
PMC7863777,33604184,10.7717/peerj.10800,2021.0,"Intestinal fatty acid-binding protein, a biomarker of intestinal barrier dysfunction, increases with the progression of type 2 diabetes.",PeerJ,CardioMetabolic,oa_package/64/19/PMC7863777.tar.gz,CC BY
PMC10150654,37138792,10.3389/fcell.2023.1128134,2023.0,CD34 positive cells as endothelial progenitor cells in biology and medicine.,Frontiers in cell and developmental biology,CardioMetabolic,oa_package/11/d4/PMC10150654.tar.gz,CC BY
PMC11433096,39337980,10.3390/life14091198,2024.0,How Can Promoting Skeletal Muscle Health and Exercise in Children and Adolescents Prevent Insulin Resistance and Type 2 Diabetes?,"Life (Basel, Switzerland)",CardioMetabolic,oa_package/00/cc/PMC11433096.tar.gz,CC BY
PMC7360633,32733143,10.3897/BDJ.8.e54812,2020.0,Vascular plant colonisation of Surtsey Island (1965-1990) - a dataset.,Biodiversity data journal,CardioMetabolic,oa_package/fe/d9/PMC7360633.tar.gz,CC BY
PMC10716824,38094512,10.1093/aobpla/plac023,2022.0,Withdrawn as duplicate: Differential Tolerance to Heat Stress of Young Leaves Compared to Mature Leaves of Whole Plants Relate to Differential Transcriptomes Involved in Metabolic Adaptations to Stress.,AoB PLANTS,CardioMetabolic,oa_package/ba/2f/PMC10716824.tar.gz,CC BY
PMC11467012,39390756,10.1111/1753-0407.70004,2024.0,Association between coffee consumption and metabolic syndrome: A cross-sectional and Mendelian randomization study.,Journal of diabetes,CardioMetabolic,oa_package/53/2b/PMC11467012.tar.gz,CC BY
PMC9440339,36093451,10.1002/ccr3.6279,2022.0,Reoccurrence of takotsubo cardiomyopathy induced by osimertinib: A case report.,Clinical case reports,CardioMetabolic,oa_package/69/83/PMC9440339.tar.gz,CC BY-NC-ND
PMC12229116,40497502,10.1161/JAHA.124.040526,2025.0,Inpatient Outcomes for Patients With Peripheral Artery Disease Hospitalized for Acute Myocardial Infarction.,Journal of the American Heart Association,CardioMetabolic,oa_package/3b/1d/PMC12229116.tar.gz,CC BY-NC-ND
PMC7212581,32393320,10.1186/s13063-020-04271-9,2020.0,"Usual care including home exercise with versus without spa therapy for chronic low back pain: protocol for the LOMBATHERM' study, a multicentric randomised controlled trial.",Trials,CardioMetabolic,oa_package/a4/7d/PMC7212581.tar.gz,CC BY
PMC11451408,39181445,10.1016/j.ihj.2024.08.001,2024.0,Clinical characteristics and outcomes of Australian and Indian ST-segment elevation myocardial infarction (STEMI) patients treated with primary percutaneous coronary intervention (PCI).,Indian heart journal,CardioMetabolic,oa_package/63/fd/PMC11451408.tar.gz,CC BY-NC-ND
PMC6104257,29502304,10.1007/s13300-018-0392-6,2018.0,User Performance Evaluation of Four Blood Glucose Monitoring Systems Applying ISO 15197:2013 Accuracy Criteria and Calculation of Insulin Dosing Errors.,"Diabetes therapy : research, treatment and education of diabetes and related disorders",CardioMetabolic,oa_package/49/c4/PMC6104257.tar.gz,CC BY
PMC11912771,40098031,10.1186/s12889-024-20829-7,2025.0,"Combinations of physical activity, sedentary behavior and sleep and their associations with cardiovascular risk.",BMC public health,CardioMetabolic,oa_package/39/9d/PMC11912771.tar.gz,CC BY-NC-ND
PMC10618827,37920545,10.1016/j.omtn.2023.102043,2023.0,Induction of long-term tolerance to a specific antigen using anti-CD3 lipid nanoparticles following gene therapy.,Molecular therapy. Nucleic acids,CardioMetabolic,oa_package/c1/b2/PMC10618827.tar.gz,CC BY-NC-ND
PMC7994894,33776806,10.3389/fphys.2021.663480,2021.0,Lipidomics Revealed Alteration of Sphingolipid Metabolism During the Reparative Phase After Myocardial Infarction Injury.,Frontiers in physiology,CardioMetabolic,oa_package/71/d8/PMC7994894.tar.gz,CC BY
PMC10177577,37174707,10.3390/cells12091307,2023.0,Effects of Rho-Associated Kinase (Rock) Inhibitors (Alternative to Y-27632) on Primary Human Corneal Endothelial Cells.,Cells,CardioMetabolic,oa_package/ee/01/PMC10177577.tar.gz,CC BY
PMC6714138,31225944,10.1111/jcmm.14466,2019.0,Yellow Wine Polyphenolic Compounds prevents Doxorubicin-induced cardiotoxicity through activation of the Nrf2 signalling pathway.,Journal of cellular and molecular medicine,CardioMetabolic,oa_package/6e/1e/PMC6714138.tar.gz,CC BY
PMC11287311,38549190,10.1002/ehf2.14743,2024.0,Increased interleukin-6 is associated with higher risk of heart failure in people with type 2 diabetes.,ESC heart failure,CardioMetabolic,oa_package/66/25/PMC11287311.tar.gz,CC BY-NC
PMC6029360,29969990,10.1186/s12872-018-0872-7,2018.0,Effectiveness of a comprehensive interactive eHealth intervention on patient-reported and clinical outcomes in patients with an implantable cardioverter defibrillator [ACQUIRE-ICD trial]: study protocol of a national Danish randomised controlled trial.,BMC cardiovascular disorders,CardioMetabolic,oa_package/3d/65/PMC6029360.tar.gz,CC BY
PMC11355490,39200783,10.3390/jcm13164641,2024.0,One-Year Outcome of Intravitreal Injection of Ranibizumab Biosimilar for Myopic Choroidal Neovascularization in Japanese Patients.,Journal of clinical medicine,CardioMetabolic,oa_package/d1/f2/PMC11355490.tar.gz,CC BY
PMC11218298,38951835,10.1186/s13098-024-01361-5,2024.0,Correlation between circulating advanced glycation end products and thioredoxin-interacting protein levels and renal fat content in type 2 diabetes mellitus patients.,Diabetology & metabolic syndrome,CardioMetabolic,oa_package/9f/36/PMC11218298.tar.gz,CC BY
PMC6431000,30936734,10.2147/DMSO.S181470,2019.0,Prevalence of hypothyroidism in patients with type 2 diabetes mellitus and hypertension in India: a cross-sectional observational study.,"Diabetes, metabolic syndrome and obesity : targets and therapy",CardioMetabolic,oa_package/e1/53/PMC6431000.tar.gz,CC BY-NC
PMC5981972,29735938,10.3390/ijerph15050933,2018.0,"Metabolic Syndrome in First Episode Schizophrenia, Based on the National Mental Health Registry of Schizophrenia (NMHR) in a General Hospital in Malaysia: A 10-Year Retrospective Cohort Study.",International journal of environmental research and public health,CardioMetabolic,oa_package/1e/32/PMC5981972.tar.gz,CC BY
PMC12426848,40560112,10.1016/j.jacasi.2025.05.002,2025.0,Systolic Dyssynchrony Index in Hypertrophic Cardiomyopathy: Association With Ventricular Arrhythmias and Risk Prediction.,JACC. Asia,CardioMetabolic,oa_package/21/81/PMC12426848.tar.gz,CC BY-NC-ND
PMC11225363,38970059,10.1186/s12944-024-02192-z,2024.0,Associations between different triglyceride glucose index-related obesity indices and periodontitis: results from NHANES 2009-2014.,Lipids in health and disease,CardioMetabolic,oa_package/15/41/PMC11225363.tar.gz,CC BY
